,MAE,MSE,RMSE,R2
Aotizhongxin,16.223215303266606,776.6758087166136,27.86890397408218,0.9303405722518305
Changping,16.695277820125845,915.6385948802352,30.25952073117212,0.8894536841689797
Dingling,14.026542093089715,641.04698146087,25.318905613412085,0.9048184121720124
Dongsi,19.948223306122337,1208.5608045384893,34.76436112656882,0.9096010862308945
Guanyuan,18.88321917103277,1459.0010216654648,38.19687188325066,0.8721048375603795
Gucheng,18.42169977262804,1104.7800005082922,33.238231007505384,0.9146098483642737
Huairou,14.747249361597689,726.8136126698965,26.959480942145316,0.9019672970853039
Nongzhanguan,18.538557749731666,1260.164392085895,35.49879423425386,0.8994070385275192
Shunyi,18.248831819545035,936.9936196712921,30.61035151172381,0.9130966739449443
Tiantan,16.906035662239432,940.0875205623465,30.660846703285063,0.917400681379224
Wanliu,16.193524095848918,836.6581890561179,28.925044322457275,0.9209488570941498
Wanshouxigong,20.098621321075974,1271.715410874587,35.66111903564703,0.90776140638947
